,Building_Project_Name,Street_Name,Postal_District,Type,No_of_Bedrooms,Monthly_Rent,Floor_Area,Lease_Commencement_Date,Downloaded_At
113,28 IMPERIAL RESIDENCES,LORONG 26 GEYLANG,14,Non-landed Properties,2,"2,200",500 to 600,Dec-19,2020-01-22 02:07:11.551548
114,28 IMPERIAL RESIDENCES,LORONG 26 GEYLANG,14,Non-landed Properties,2,"2,300",800 to 900,Nov-19,2020-01-22 02:07:11.596525
115,28 IMPERIAL RESIDENCES,LORONG 26 GEYLANG,14,Non-landed Properties,2,"2,500",1100 to 1200,Nov-19,2020-01-22 02:07:11.611525
116,28 IMPERIAL RESIDENCES,LORONG 26 GEYLANG,14,Non-landed Properties,1,"1,750",400 to 500,Oct-19,2020-01-22 02:07:11.644528
117,28 RC SUITES,RACE COURSE LANE,08,Non-landed Properties,1,"2,200",500 to 600,Dec-19,2020-01-22 02:07:11.881540
118,28 RC SUITES,RACE COURSE LANE,08,Non-landed Properties,1,"2,000",400 to 500,Dec-19,2020-01-22 02:07:11.908540
119,28 RC SUITES,RACE COURSE LANE,08,Non-landed Properties,1,"2,300",600 to 700,Nov-19,2020-01-22 02:07:11.928542
120,28 RC SUITES,RACE COURSE LANE,08,Non-landed Properties,1,"1,900",400 to 500,Nov-19,2020-01-22 02:07:11.944543
121,28 RC SUITES,RACE COURSE LANE,08,Non-landed Properties,1,"2,000",400 to 500,Oct-19,2020-01-22 02:07:11.963545
122,28 RC SUITES,RACE COURSE LANE,08,Non-landed Properties,1,"2,200",500 to 600,Oct-19,2020-01-22 02:07:11.996547
123,28 RC SUITES,RACE COURSE LANE,08,Non-landed Properties,1,"1,800",400 to 500,Oct-19,2020-01-22 02:07:12.026012
124,28 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,3,"2,800",1100 to 1200,Nov-19,2020-01-22 02:07:12.208546
125,28 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,2,"2,600",800 to 900,Nov-19,2020-01-22 02:07:12.234548
126,28 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,2,"2,500",800 to 900,Oct-19,2020-01-22 02:07:12.262549
127,3 ORCHARD BY-THE-PARK,ORCHARD BOULEVARD,10,Non-landed Properties,2,"6,500",1000 to 1100,Dec-19,2020-01-22 02:07:13.441830
128,3 ORCHARD BY-THE-PARK,ORCHARD BOULEVARD,10,Non-landed Properties,2,"7,000",1100 to 1200,Nov-19,2020-01-22 02:07:13.457830
129,3 ORCHARD BY-THE-PARK,ORCHARD BOULEVARD,10,Non-landed Properties,3,"11,172",1800 to 1900,Oct-19,2020-01-22 02:07:13.491834
130,336 RIVER VALLEY,RIVER VALLEY ROAD,09,Non-landed Properties,3,"5,804",>3000,Dec-19,2020-01-22 02:07:14.444391
131,336 RIVER VALLEY,RIVER VALLEY ROAD,09,Non-landed Properties,2,"3,579",1500 to 1600,Dec-19,2020-01-22 02:07:14.488214
132,336 RIVER VALLEY,RIVER VALLEY ROAD,09,Non-landed Properties,2,"3,392",1500 to 1600,Dec-19,2020-01-22 02:07:14.511396
133,336 RIVER VALLEY,RIVER VALLEY ROAD,09,Non-landed Properties,2,"3,766",1500 to 1600,Dec-19,2020-01-22 02:07:14.551399
134,336 RIVER VALLEY,RIVER VALLEY ROAD,09,Non-landed Properties,2,"3,205",1500 to 1600,Dec-19,2020-01-22 02:07:14.605407
